scenario,n,feasible_rate,profit_heuristic_mean,profit_heuristic_std,mip_profit_mean,mip_profit_std,gap_to_opt_mean,gap_to_opt_std,ub_profit_mean,ub_profit_std,gap_to_ub_mean,gap_to_ub_std,runtime_mean
S1_baseline,10,1.0,26080.0,8501.73838432797,30500.0,,0.17704918032786884,,34090.0,5697.065521437818,0.23443948250946017,0.24475905670685089,0.04053962230682373
S2_high_low_level_demand,10,1.0,19460.0,2560.902618652693,,,,,19790.0,2634.9994729073896,0.015137614678899083,0.047869340727319507,0.03801884651184082
S3_geographic_imbalance,10,1.0,20020.0,9927.044989432768,25600.0,,0.24609375,,33280.0,6784.262835579282,0.3586453849158077,0.31194397840895405,0.043634653091430664
S4_high_order_load,10,1.0,18640.0,15558.863140416854,,,,,48010.0,6356.877290689894,0.6161081860224202,0.29922042704879653,0.22608163356781005
S5_tight_relo_budget,10,1.0,10110.0,8547.83273376617,,,,,28410.0,6275.251212324314,0.6209086456306014,0.30843419073271694,0.061979269981384276
