scenario,seed,instance_path,feasible,heuristic_profit,benchmark_profit,gap,heuristic_runtime_s,benchmark_runtime_s,benchmark_status
S4_high_order_load,2,generated_instances_big/S4_high_order_load_02.txt,True,240700.0,409810.0,0.41265464483541153,5.794034957885742,0.0015349388122558594,ACCEPT_ALL_UB
S4_high_order_load,3,generated_instances_big/S4_high_order_load_03.txt,True,259430.0,333170.0,0.22132845094096107,5.9079749584198,0.0014140605926513672,ACCEPT_ALL_UB
S4_high_order_load,4,generated_instances_big/S4_high_order_load_04.txt,True,133440.0,354390.0,0.6234656734106493,5.615514755249023,0.0014200210571289062,ACCEPT_ALL_UB
S4_high_order_load,5,generated_instances_big/S4_high_order_load_05.txt,True,215990.0,352610.0,0.38745356059102126,5.781435966491699,0.0015149116516113281,ACCEPT_ALL_UB
S4_high_order_load,6,generated_instances_big/S4_high_order_load_06.txt,True,115990.0,332890.0,0.6515665835561296,5.788259267807007,0.0013968944549560547,ACCEPT_ALL_UB
S4_high_order_load,7,generated_instances_big/S4_high_order_load_07.txt,True,125140.0,402880.0,0.6893864177918984,5.766394138336182,0.0014209747314453125,ACCEPT_ALL_UB
S4_high_order_load,8,generated_instances_big/S4_high_order_load_08.txt,True,182850.0,342450.0,0.4660534384581691,5.74363899230957,0.0014238357543945312,ACCEPT_ALL_UB
S4_high_order_load,9,generated_instances_big/S4_high_order_load_09.txt,True,219380.0,354860.0,0.3817843656653328,5.82600212097168,0.0018939971923828125,ACCEPT_ALL_UB
S4_high_order_load,10,generated_instances_big/S4_high_order_load_10.txt,True,218810.0,333290.0,0.3434846530048906,5.902997970581055,0.0014519691467285156,ACCEPT_ALL_UB
S5_tight_relo_budget,1,generated_instances_big/S5_tight_relo_budget_01.txt,True,123190.0,197830.0,0.3772936359500581,1.0632603168487549,0.0007767677307128906,ACCEPT_ALL_UB
S5_tight_relo_budget,2,generated_instances_big/S5_tight_relo_budget_02.txt,True,98140.0,307270.0,0.6806066326032479,0.82973313331604,0.0007727146148681641,ACCEPT_ALL_UB
S5_tight_relo_budget,3,generated_instances_big/S5_tight_relo_budget_03.txt,True,221320.0,230800.0,0.04107452339688042,0.20839691162109375,0.0007839202880859375,ACCEPT_ALL_UB
S5_tight_relo_budget,4,generated_instances_big/S5_tight_relo_budget_04.txt,True,190460.0,228680.0,0.16713311177190834,0.6328291893005371,0.0007219314575195312,ACCEPT_ALL_UB
S5_tight_relo_budget,5,generated_instances_big/S5_tight_relo_budget_05.txt,True,141490.0,209440.0,0.32443659281894577,0.5860810279846191,0.0007770061492919922,ACCEPT_ALL_UB
S5_tight_relo_budget,6,generated_instances_big/S5_tight_relo_budget_06.txt,True,111190.0,277870.0,0.5998488501817396,0.8821258544921875,0.0007719993591308594,ACCEPT_ALL_UB
S5_tight_relo_budget,7,generated_instances_big/S5_tight_relo_budget_07.txt,True,200170.0,232570.0,0.13931289504235284,0.5111081600189209,0.0007770061492919922,ACCEPT_ALL_UB
S5_tight_relo_budget,8,generated_instances_big/S5_tight_relo_budget_08.txt,True,147770.0,213710.0,0.3085489682279725,0.8139247894287109,0.0007729530334472656,ACCEPT_ALL_UB
S5_tight_relo_budget,9,generated_instances_big/S5_tight_relo_budget_09.txt,True,172940.0,208340.0,0.16991456273399252,0.46633005142211914,0.0007710456848144531,ACCEPT_ALL_UB
S5_tight_relo_budget,10,generated_instances_big/S5_tight_relo_budget_10.txt,True,256480.0,295720.0,0.13269308805626945,0.22121596336364746,0.0007760524749755859,ACCEPT_ALL_UB
