scenario,seed,instance_path,feasible,heuristic_profit,benchmark_profit,gap,heuristic_runtime_s,benchmark_runtime_s,benchmark_status
S4_high_order_load,3,generated_instances_v2_hard/S4_high_order_load_03.txt,True,23920.0,94960.0,0.7481044650379107,1.7902917861938477,48.206483125686646,OPTIMAL
S4_high_order_load,4,generated_instances_v2_hard/S4_high_order_load_04.txt,True,49440.0,89040.0,0.444743935309973,1.601101636886597,50.19673705101013,OPTIMAL
S4_high_order_load,5,generated_instances_v2_hard/S4_high_order_load_05.txt,True,25280.0,79160.0,0.6806467913087418,1.8896899223327637,52.974809885025024,OPTIMAL
S4_high_order_load,6,generated_instances_v2_hard/S4_high_order_load_06.txt,True,47320.0,121000.0,0.6089256198347107,1.9956629276275637,57.43232583999634,OPTIMAL
S4_high_order_load,7,generated_instances_v2_hard/S4_high_order_load_07.txt,True,54740.0,113420.0,0.5173690707106331,1.804271936416626,52.33244013786316,OPTIMAL
S4_high_order_load,8,generated_instances_v2_hard/S4_high_order_load_08.txt,True,32940.0,77220.0,0.5734265734265734,1.800924301147461,52.52394390106201,OPTIMAL
S4_high_order_load,9,generated_instances_v2_hard/S4_high_order_load_09.txt,True,30460.0,96520.0,0.6844177372565271,1.74397611618042,51.03908085823059,OPTIMAL
S4_high_order_load,10,generated_instances_v2_hard/S4_high_order_load_10.txt,True,50400.0,119940.0,0.5797898949474737,2.2578659057617188,52.756452798843384,OPTIMAL
S5_tight_relo_budget,1,generated_instances_v2_hard/S5_tight_relo_budget_01.txt,True,43460.0,68660.0,0.3670259248470725,0.2065298557281494,1.3619911670684814,OPTIMAL
S5_tight_relo_budget,2,generated_instances_v2_hard/S5_tight_relo_budget_02.txt,True,64860.0,67380.0,0.0373998219056099,0.0721259117126464,1.730530023574829,OPTIMAL
S5_tight_relo_budget,3,generated_instances_v2_hard/S5_tight_relo_budget_03.txt,True,23400.0,75060.0,0.6882494004796164,0.3299551010131836,1.3217930793762207,OPTIMAL
S5_tight_relo_budget,4,generated_instances_v2_hard/S5_tight_relo_budget_04.txt,True,73420.0,98200.0,0.2523421588594705,0.312183141708374,1.3475909233093262,OPTIMAL
S5_tight_relo_budget,5,generated_instances_v2_hard/S5_tight_relo_budget_05.txt,True,73860.0,78660.0,0.061022120518688,0.095341682434082,1.604254961013794,OPTIMAL
S5_tight_relo_budget,6,generated_instances_v2_hard/S5_tight_relo_budget_06.txt,True,100180.0,105880.0,0.0538345296562145,0.106774091720581,1.4502129554748535,OPTIMAL
S5_tight_relo_budget,7,generated_instances_v2_hard/S5_tight_relo_budget_07.txt,True,72060.0,80640.0,0.1063988095238095,0.0821330547332763,1.831248998641968,OPTIMAL
S5_tight_relo_budget,8,generated_instances_v2_hard/S5_tight_relo_budget_08.txt,True,57180.0,80220.0,0.2872101720269259,0.3462898731231689,1.55662202835083,OPTIMAL
S5_tight_relo_budget,9,generated_instances_v2_hard/S5_tight_relo_budget_09.txt,True,30740.0,45500.0,0.3243956043956044,0.2237062454223632,1.6130077838897705,OPTIMAL
S5_tight_relo_budget,10,generated_instances_v2_hard/S5_tight_relo_budget_10.txt,True,16540.0,33460.0,0.5056784219964137,0.372373104095459,1.365638017654419,OPTIMAL
