scenario,n,feasible_rate,profit_heuristic_mean,profit_heuristic_std,mip_profit_mean,mip_profit_std,gap_to_opt_mean,gap_to_opt_std,ub_profit_mean,ub_profit_std,gap_to_ub_mean,gap_to_ub_std,runtime_mean
S1_baseline,10,1.0,25480.0,8305.794496748775,30500.0,,0.17704918032786884,,34090.0,5697.065521437818,0.2509155878687289,0.24172847418828994,0.04315736293792725
S2_high_low_level_demand,10,1.0,19460.0,2560.902618652693,,,,,19790.0,2634.9994729073896,0.015137614678899083,0.047869340727319507,0.03759884834289551
S3_geographic_imbalance,10,1.0,20170.0,10179.287248569466,25600.0,,0.12890625,,33280.0,6784.262835579282,0.3529051629309034,0.3233936586589763,0.06622104644775391
S4_high_order_load,10,1.0,15700.0,14491.22339747599,,,,,48010.0,6356.877290689894,0.6760980840665647,0.27572191139899205,0.10250978469848633
S5_tight_relo_budget,10,1.0,5610.0,7453.3288610600775,,,,,28410.0,6275.251212324314,0.7768488640622865,0.26446636266289064,0.03411200046539307
