Instance,Heuristic Profit,Gurobi Profit,Optimality Gap,Heuristic Time (s),Gurobi Time (s)
S1_baseline_01.txt,315800.0,315800.0,0.0,10.567047834396362,12.050302028656006
S1_baseline_02.txt,345200.0,345200.0,0.0,10.372126817703247,9.06374979019165
S1_baseline_03.txt,344300.0,344300.0,0.0,10.120053052902222,10.799774885177612
S1_baseline_04.txt,317500.0,317500.0,0.0,10.046565055847168,10.839921951293945
S1_baseline_05.txt,333800.0,333800.0,0.0,10.238353967666626,10.651543140411377
S1_baseline_06.txt,323900.0,323900.0,0.0,9.843730211257935,10.987936019897461
S1_baseline_07.txt,324000.0,324000.0,0.0,10.394400835037231,8.69340705871582
S1_baseline_08.txt,401500.0,401500.0,0.0,9.464078903198242,8.81267786026001
S1_baseline_09.txt,289500.0,289500.0,0.0,10.662607908248901,8.828303098678589
S1_baseline_10.txt,317400.0,317400.0,0.0,10.302878141403198,11.165653944015503
S2_high_low_level_demand_01.txt,271800.0,271800.0,0.0,11.937309265136719,12.03379511833191
S2_high_low_level_demand_02.txt,229000.0,229000.0,0.0,12.945199012756348,13.77900505065918
S2_high_low_level_demand_03.txt,222500.0,222500.0,0.0,11.906770944595337,11.881196022033691
S2_high_low_level_demand_04.txt,232700.0,232700.0,0.0,12.265690088272095,18.77488398551941
S2_high_low_level_demand_05.txt,260000.0,260000.0,0.0,11.979444026947021,11.320735216140747
S2_high_low_level_demand_06.txt,303000.0,303000.0,0.0,12.065261125564575,10.073274850845337
S2_high_low_level_demand_07.txt,240300.0,240300.0,0.0,12.387408256530762,13.517443895339966
S2_high_low_level_demand_08.txt,246000.0,246000.0,0.0,12.113329887390137,15.712594747543335
S2_high_low_level_demand_09.txt,233100.0,233100.0,0.0,11.529317140579224,14.898319959640503
S2_high_low_level_demand_10.txt,219300.0,219300.0,0.0,10.839128017425537,17.89983105659485
S3_geographic_imbalance_01.txt,306800.0,306800.0,0.0,16.198402166366577,17.803001165390015
S3_geographic_imbalance_02.txt,279800.0,279800.0,0.0,16.02378010749817,17.190938234329224
S3_geographic_imbalance_03.txt,331600.0,331600.0,0.0,13.532097816467285,12.621508836746216
S3_geographic_imbalance_04.txt,295400.0,295400.0,0.0,13.309211254119873,11.820571184158325
S3_geographic_imbalance_05.txt,291500.0,291500.0,0.0,14.542578935623169,13.209506273269653
S3_geographic_imbalance_06.txt,309900.0,309900.0,0.0,15.23830795288086,15.327018976211548
S3_geographic_imbalance_07.txt,310900.0,310900.0,0.0,16.549570083618164,12.615467071533203
S3_geographic_imbalance_08.txt,333100.0,333100.0,0.0,14.72785997390747,15.637870788574219
S3_geographic_imbalance_09.txt,327400.0,327400.0,0.0,15.235316038131714,11.924774885177612
S3_geographic_imbalance_10.txt,329500.0,329500.0,0.0,14.535173892974854,11.91723895072937
S4_high_order_load_01.txt,363900.0,363900.0,0.0,12.799046039581299,11.660892009735107
S4_high_order_load_02.txt,346100.0,346100.0,0.0,13.96685791015625,13.435058832168579
S4_high_order_load_03.txt,324300.0,324300.0,0.0,12.913305044174194,5.6941282749176025
S4_high_order_load_04.txt,360600.0,360600.0,0.0,13.982545852661133,5.542861700057983
S4_high_order_load_05.txt,321900.0,321900.0,0.0,13.7017240524292,12.23948073387146
S4_high_order_load_06.txt,375300.0,375300.0,0.0,12.836364984512329,13.560663223266602
S4_high_order_load_07.txt,336500.0,336500.0,0.0,14.240476131439209,15.145894050598145
S4_high_order_load_08.txt,337400.0,337400.0,0.0,13.638879776000977,8.090431928634644
S4_high_order_load_09.txt,366100.0,366100.0,0.0,12.30313515663147,6.0495030879974365
S4_high_order_load_10.txt,375600.0,375600.0,0.0,13.122633934020996,15.072226762771606
S5_tight_relo_budget_01.txt,618500.0,796700.0,0.2236726496799297,23.716320276260376,10.183781862258911
S5_tight_relo_budget_02.txt,484300.0,777400.0,0.3770259840493954,24.245095014572144,11.042731046676636
S5_tight_relo_budget_03.txt,496900.0,778300.0,0.36155724013876395,26.82859992980957,11.024503707885742
S5_tight_relo_budget_04.txt,577300.0,721600.0,0.19997228381374724,27.931622743606567,12.127845287322998
S5_tight_relo_budget_05.txt,589900.0,771400.0,0.2352864920922997,24.90860414505005,13.4165198802948
S5_tight_relo_budget_06.txt,546400.0,725500.0,0.24686423156443832,28.076140880584717,19.577244997024536
S5_tight_relo_budget_07.txt,598000.0,812500.0,0.264,33.0229229927063,10.44820523262024
S5_tight_relo_budget_08.txt,660600.0,811500.0,0.18595194085027728,138.1639859676361,10.470986127853394
S5_tight_relo_budget_09.txt,636400.0,794500.0,0.1989930774071743,22.077461004257202,10.633126974105835
S5_tight_relo_budget_10.txt,678000.0,781200.0,0.13210445468509985,16.525733709335327,18.03055691719055
