scenario,n,feasible_rate,profit_heuristic_mean,profit_heuristic_std,mip_profit_mean,mip_profit_std,gap_to_opt_mean,gap_to_opt_std,ub_profit_mean,ub_profit_std,gap_to_ub_mean,gap_to_ub_std,runtime_mean
S1_baseline,10,1.0,24100.0,7990.549974118733,30500.0,,0.17704918032786884,,34090.0,5697.065521437818,0.29353993682733315,0.21863921423088675,0.02604677677154541
S2_high_low_level_demand,10,1.0,19460.0,2560.902618652693,,,,,19790.0,2634.9994729073896,0.015137614678899083,0.047869340727319507,0.018956422805786133
S3_geographic_imbalance,10,1.0,18820.0,9915.957957868832,25600.0,,0.28125,,33280.0,6784.262835579282,0.394205286616609,0.31527048109714295,0.027726244926452637
S4_high_order_load,10,1.0,7750.0,16091.837130117314,,,,,48010.0,6356.877290689894,0.8440684022305,0.31076245080719084,0.06405811309814453
S5_tight_relo_budget,10,1.0,4410.0,5312.13495477833,,,,,28410.0,6275.251212324314,0.8342145706766034,0.19954790733071404,0.02238149642944336
