scenario,n,feasible_rate,profit_heuristic_mean,profit_heuristic_std,mip_profit_mean,mip_profit_std,gap_to_opt_mean,gap_to_opt_std,ub_profit_mean,ub_profit_std,gap_to_ub_mean,gap_to_ub_std,runtime_mean
S1_baseline,10,1.0,25630.0,8357.305520055825,30500.0,,0.17704918032786884,,34090.0,5697.065521437818,0.2464998027742323,0.24341284531814403,0.04889581203460693
S2_high_low_level_demand,10,1.0,19460.0,2560.902618652693,,,,,19790.0,2634.9994729073896,0.015137614678899083,0.047869340727319507,0.038254499435424805
S3_geographic_imbalance,10,1.0,20170.0,10179.287248569466,25600.0,,0.12890625,,33280.0,6784.262835579282,0.3529051629309034,0.3233936586589763,0.04399957656860352
S4_high_order_load,10,1.0,17080.0,15892.332183232964,,,,,48010.0,6356.877290689894,0.6519536924847621,0.3070446596865898,0.2118770122528076
S5_tight_relo_budget,10,1.0,7620.0,7101.2987857464805,,,,,28410.0,6275.251212324314,0.7156081889128629,0.26385187733497,0.059682035446166994
