instance_path,scenario,n_orders,feasible,profit_heuristic,revenue_heuristic,compensation_heuristic,n_accepted_heuristic,runtime_s,mip_status,mip_profit,mip_mipgap,mip_revenue,mip_compensation,mip_n_accepted,gap_to_opt,ub_type,ub_profit,gap_to_ub,error_heuristic
generated_instances_v2/S1_baseline_01.txt,S1_baseline,20,True,32900.0,32900.0,0.0,20,0.05964064598083496,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,32900.0,0.0,
generated_instances_v2/S1_baseline_02.txt,S1_baseline,20,True,27600.0,28000.0,400.0,19,0.03948807716369629,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,28200.0,0.02127659574468085,
generated_instances_v2/S1_baseline_03.txt,S1_baseline,20,True,23800.0,30800.0,7000.0,19,0.038024187088012695,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,34300.0,0.30612244897959184,
generated_instances_v2/S1_baseline_04.txt,S1_baseline,20,True,19100.0,36300.0,17200.0,15,0.044387102127075195,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,44900.0,0.5746102449888641,
generated_instances_v2/S1_baseline_05.txt,S1_baseline,20,True,28600.0,35600.0,7000.0,17,0.04208493232727051,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,39100.0,0.26854219948849106,
generated_instances_v2/S1_baseline_06.txt,S1_baseline,20,True,25100.0,39100.0,14000.0,18,0.055937767028808594,OPTIMAL,30500.0,0.0,40900.0,10400.0,18.0,0.17704918032786884,OPT,30500.0,0.17704918032786884,
generated_instances_v2/S1_baseline_07.txt,S1_baseline,20,True,32500.0,34700.0,2200.0,17,0.03792309761047363,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,35800.0,0.09217877094972067,
generated_instances_v2/S1_baseline_08.txt,S1_baseline,20,True,37700.0,37700.0,0.0,20,0.036087989807128906,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,37700.0,0.0,
generated_instances_v2/S1_baseline_09.txt,S1_baseline,20,True,7000.0,19000.0,12000.0,19,0.040323734283447266,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,25000.0,0.72,
generated_instances_v2/S1_baseline_10.txt,S1_baseline,20,True,26500.0,30500.0,4000.0,19,0.042849063873291016,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,32500.0,0.18461538461538463,
generated_instances_v2/S2_high_low_level_demand_01.txt,S2_high_low_level_demand,20,True,23400.0,23400.0,0.0,20,0.0372927188873291,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,23400.0,0.0,
generated_instances_v2/S2_high_low_level_demand_02.txt,S2_high_low_level_demand,20,True,22300.0,22300.0,0.0,20,0.039240121841430664,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,22300.0,0.0,
generated_instances_v2/S2_high_low_level_demand_03.txt,S2_high_low_level_demand,20,True,15900.0,15900.0,0.0,20,0.03936576843261719,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,15900.0,0.0,
generated_instances_v2/S2_high_low_level_demand_04.txt,S2_high_low_level_demand,20,True,18600.0,18600.0,0.0,20,0.036699771881103516,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,18600.0,0.0,
generated_instances_v2/S2_high_low_level_demand_05.txt,S2_high_low_level_demand,20,True,21300.0,21300.0,0.0,20,0.04418206214904785,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,21300.0,0.0,
generated_instances_v2/S2_high_low_level_demand_06.txt,S2_high_low_level_demand,20,True,19500.0,19500.0,0.0,20,0.04925704002380371,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,19500.0,0.0,
generated_instances_v2/S2_high_low_level_demand_07.txt,S2_high_low_level_demand,20,True,20000.0,20000.0,0.0,20,0.03233695030212402,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,20000.0,0.0,
generated_instances_v2/S2_high_low_level_demand_08.txt,S2_high_low_level_demand,20,True,19800.0,19800.0,0.0,20,0.04372096061706543,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,19800.0,0.0,
generated_instances_v2/S2_high_low_level_demand_09.txt,S2_high_low_level_demand,20,True,15300.0,15300.0,0.0,20,0.04227614402770996,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,15300.0,0.0,
generated_instances_v2/S2_high_low_level_demand_10.txt,S2_high_low_level_demand,20,True,18500.0,20700.0,2200.0,19,0.03647112846374512,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,21800.0,0.15137614678899083,
generated_instances_v2/S3_geographic_imbalance_01.txt,S3_geographic_imbalance,20,True,19300.0,32900.0,13600.0,15,0.05662894248962402,OPTIMAL,25600.0,0.0,35000.0,9400.0,17.0,0.24609375,OPT,25600.0,0.24609375,
generated_instances_v2/S3_geographic_imbalance_02.txt,S3_geographic_imbalance,20,True,-3700.0,29100.0,32800.0,12,0.03882908821105957,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,45500.0,1.0813186813186813,
generated_instances_v2/S3_geographic_imbalance_03.txt,S3_geographic_imbalance,20,True,32500.0,32500.0,0.0,20,0.045562028884887695,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,32500.0,0.0,
generated_instances_v2/S3_geographic_imbalance_04.txt,S3_geographic_imbalance,20,True,23200.0,27200.0,4000.0,16,0.04077410697937012,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,29200.0,0.2054794520547945,
generated_instances_v2/S3_geographic_imbalance_05.txt,S3_geographic_imbalance,20,True,20300.0,29900.0,9600.0,16,0.04110288619995117,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,34700.0,0.414985590778098,
generated_instances_v2/S3_geographic_imbalance_06.txt,S3_geographic_imbalance,20,True,24400.0,35400.0,11000.0,15,0.045056819915771484,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,40900.0,0.4034229828850856,
generated_instances_v2/S3_geographic_imbalance_07.txt,S3_geographic_imbalance,20,True,12700.0,23500.0,10800.0,17,0.042601823806762695,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,28900.0,0.5605536332179931,
generated_instances_v2/S3_geographic_imbalance_08.txt,S3_geographic_imbalance,20,True,22700.0,33300.0,10600.0,14,0.03993391990661621,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,38600.0,0.4119170984455959,
generated_instances_v2/S3_geographic_imbalance_09.txt,S3_geographic_imbalance,20,True,29600.0,31600.0,2000.0,19,0.0540008544921875,GUROBI_ERROR_10010,,,,,,,ACCEPT_ALL_UB,32600.0,0.09202453987730061,
