scenario,n,feasible_rate,profit_heuristic_mean,profit_heuristic_std,mip_profit_mean,mip_profit_std,gap_to_opt_mean,gap_to_opt_std,ub_profit_mean,ub_profit_std,gap_to_ub_mean,gap_to_ub_std,runtime_mean
S1_baseline,10,1.0,25810.0,7897.460914046292,30500.0,,0.17704918032786884,,34090.0,5697.065521437818,0.2462236631589323,0.21875016952087245,0.044488930702209474
S2_high_low_level_demand,10,1.0,19460.0,2560.902618652693,,,,,19790.0,2634.9994729073896,0.015137614678899083,0.047869340727319507,0.037349605560302736
S3_geographic_imbalance,10,1.0,19330.0,9939.712716617563,25600.0,,0.12890625,,33280.0,6784.262835579282,0.3755126983601248,0.32319190067132936,0.04325857162475586
S4_high_order_load,10,1.0,10450.0,14431.00443104668,,,,,48010.0,6356.877290689894,0.7889391328446413,0.2728259498674888,0.0946660041809082
S5_tight_relo_budget,10,1.0,5670.0,4526.968571179222,,,,,28410.0,6275.251212324314,0.7864790422566669,0.1676358665692589,0.032950639724731445
